('怦然心动', ['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'], '9.0')
('毒液：致命守护者', ['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特'], '7.2')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('三傻大闹宝莱坞', ['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达'], '9.2')
('让子弹飞', ['姜文', '葛优', '周润发', '刘嘉玲', '陈坤'], '8.8')
('怦然心动', ['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'], '9.0')
('毒液：致命守护者', ['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特'], '7.2')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('让子弹飞', ['姜文', '葛优', '周润发', '刘嘉玲', '陈坤'], '8.8')
('怦然心动', ['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'], '9.0')
('毒液：致命守护者', ['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特'], '7.2')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('怦然心动', ['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'], '9.0')
('毒液：致命守护者', ['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特'], '7.2')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('机器人总动员', ['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'], '9.3')
('毒液：致命守护者', ['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特'], '7.2')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('机器人总动员', ['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'], '9.3')
('飞屋环游记', ['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多'], '9.0')
('摔跤吧！爸爸', ['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'], '9.1')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('机器人总动员', ['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'], '9.3')
('飞屋环游记', ['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多'], '9.0')
('龙猫', ['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣'], '9.2')
('忠犬八公的故事', ['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'], '9.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('机器人总动员', ['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'], '9.3')
('飞屋环游记', ['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多'], '9.0')
('龙猫', ['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣'], '9.2')
('初恋这件小事', ['平采娜·乐维瑟派布恩', '马里奥·毛瑞尔', '苏达拉·布查蓬', '雅尼卡·桑普蕾舞', '诺特·阿查拉那·阿瑞亚卫考'], '8.3')
('一出好戏', ['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟'], '7.1')
('疯狂动物城', ['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'], '9.2')
('当幸福来敲门', ['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'], '9.0')
('海上钢琴师', ['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'], '9.2')
('大话西游之大圣娶亲', ['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'], '9.2')
('海王', ['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼'], '7.6')
('少年派的奇幻漂流', ['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'], '9.0')
('星际穿越', ['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩'], '9.2')
('楚门的世界', ['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'], '9.2')
('阿凡达', ['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'], '8.7')
('你的名字。', ['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌'], '8.4')
('无双', ['周润发', '郭富城', '张静初', '冯文娟', '廖启智'], '8.1')
('那些年，我们一起追的女孩', ['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪'], '8.1')
('放牛班的春天', ['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔'], '9.3')
('头号玩家', ['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特'], '8.7')
('机器人总动员', ['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'], '9.3')
